単語,出現回数
する,581
れる,274
パリ,231
言語,216
いる,205
年,144
語,133
地理,121
的,119
学,112
こと,101
なる,101
ある,84
よう,61
られる,60
フランス,56
人,50
地域,49
都市,48
区,46
もの,43
圏,43
文字,41
ため,40
世紀,40
研究,40
県,39
おる,36
世界,36
存在,33
月,33
日,31
者,30
世,29
行う,28
これ,28
できる,28
数,28
使用,27
自然,26
方言,26
の,25
万,25
公用,24
現在,24
地,24
人口,24
行政,24
病院,24
呼ぶ,23
共通,23
市,23
セーヌ,23
記号,22
用いる,22
以降,22
話者,22
国,22
郊外,22
体,21
国家,21
中心,21
パーセント,21
上,20
扱う,20
ド,20
英語,19
ほか,19
場合,18
一,18
中,18
化,18
間,18
人文,18
軍,18
教育,17
革命,17
性,16
ドイツ,16
表現,16
民族,16
多い,16
日本,16
置く,16
科学,16
分野,16
大学,16
それ,15
いく,15
例,15
経済,15
年代,15
後,15
王,15
使う,14
歴史,14
ローマ,14
社会,14
分類,14
発生,14
系統,14
関係,14
層,14
地誌,14
移民,14
平均,14
市長,14
裁判所,14
独立,13
国際,13
持つ,13
これら,13
戦争,13
城壁,13
街,13
時代,12
多く,12
文化,12
異なる,12
学問,12
件,12
ルイ,12
医療,12
字,11
一般,11
ヨーロッパ,11
次,11
それぞれ,11
影響,11
可能,11
ない,11
消滅,11
派,11
フランス語,11
法,11
成立,11
受ける,11
二,11
下,11
部,11
サン,11
施設,11
合,10
広い,10
見る,10
せる,10
大きい,10
内,10
問題,10
主義,10
母語,10
よる,10
くる,10
標準,10
政治,10
地方,10
理解,10
億,10
首都,10
市域,10
市内,10
所得,10
宮殿,10
刑務所,10
ラテン語,9
発展,9
中世,9
位置,9
含む,9
相互,9
活動,9
共同,9
文法,9
構造,9
代表,9
アメリカ,9
複数,9
連合,9
機関,9
言う,9
島,9
領域,9
権,9
機能,9
学会,9
世帯,9
鉄道,9
駅,9
議会,9
表す,8
学校,8
のち,8
形,8
変化,8
日常,8
等,8
集団,8
形成,8
区別,8
近代,8
整備,8
主要,8
他,8
地球,8
生物,8
能力,8
必要,8
現象,8
いくつ,8
ころ,8
後半,8
とき,8
三,8
中国,8
範囲,8
定義,8
位,8
政府,8
ら,8
地形,8
気候,8
ロンドン,8
事件,8
左岸,8
高い,8
朝,8
建設,8
院,8
意味,7
アルファベット,7
加える,7
変遷,7
続く,7
同様,7
式,7
多数,7
重要,7
わけ,7
部分,7
発達,7
国内,7
一つ,7
一覧,7
族,7
明確,7
基準,7
西部,7
与える,7
スペイン,7
ビジネス,7
アフリカ,7
ひとつ,7
設立,7
度,7
回,7
環境,7
注釈,7
有する,7
総合,7
設置,7
出身,7
川,7
最高,7
企業,7
商人,7
割合,7
ユーロ,7
気温,7
管轄,7
起源,6
語源,6
最後,6
筆記,6
さ,6
続ける,6
子供,6
別,6
線,6
人間,6
学習,6
方法,6
いう,6
日本語,6
以上,6
たち,6
入る,6
アラビア,6
成長,6
つながる,6
属する,6
各国,6
制定,6
中央,6
百,6
同士,6
のぼる,6
会,6
運動,6
脳,6
側,6
障害,6
調査,6
概念,6
説,6
分布,6
拡大,6
連携,6
高等,6
大戦,6
加盟,6
ニューヨーク,6
センター,6
右岸,6
住宅,6
建築,6
築く,6
フランク,6
