company,code,capitalication
"コンコルディア・フィナンシャルグループ","7186","1030649580088"
"三和ホールディングス","5929","1028643000000"
"セイコーエプソン","6724","1023966748341"
"リコー","7752","1021558835128"
"千葉銀行","8331","1015731513858.5"
"電通グループ","4324","1006365943650"
"オムロン","6645","1004825016384"
"SCSK","9719","1000906105600"
"阪急阪神ホールディングス","9042","975423392860"
"ヤクルト本社","2267","972051110494"
"マツキヨココカラ&カンパニー","3088","968670943605"
"AGC","5201","966279722364"
"三越伊勢丹ホールディングス","3099","965751346274"
"神戸物産","3038","960336000000"
"日本特殊陶業","5334","960236529960"
"エムスリー","2413","946633616800"
"清水建設","1803","942609726727.5"
"SGホールディングス","9143","940098979200"
"ベイカレント","6532","915684027720"
"横河電機","6841","904995974190"
"明治ホールディングス","2269","899451835000"
"ホシザキ","6465","850649777100"
"小野薬品工業","4528","807383643200"
"TIS","3626","805555931510"
"クラレ","3405","799507697559"
"新光電気工業","6967","793459299540"
"しずおかフィナンシャルグループ","5831","791005985581.5"
"楽天銀行","5838","789881734260"
"ふくおかフィナンシャルグループ","8354","773345420190"
"エービーシー・マート","2670","765637756296"
"日立建機","6305","762367694672"
"日本マクドナルドホールディングス","2702","761860800000"
"ユニ・チャーム","8113","755865783382.5"
"スクウェア・エニックス・ホールディングス","9684","752466531036"
"東京センチュリー","8439","723652578240"
"レゾナック・ホールディングス","4004","720745236216"
"野村不動産ホールディングス","3231","708767840642"
"双日","2768","702450000000"
"三菱自動車工業","7211","698495405875.2"
"日鉄ソリューションズ","2327","692845572000"
"京都フィナンシャルグループ","5844","688785128416"
"ユー・エス・エス","4732","688760000000"
"東映アニメーション","4816","687750000000"
"クレディセゾン","8253","678171531204"
"東京電力ホールディングス","9501","677839994575.8"
"セガサミーホールディングス","6460","677010524394"
"東急不動産ホールディングス","3289","676641115560"
"朝日インテック","7747","674737862400"
"日本テレビホールディングス","9404","668261328640"
"めぶきフィナンシャルグループ","7167","665357523615.6001"
"ブラザー工業","6448","663850397715"
"東ソー","4042","663815312152"
"ヒロセ電機","6806","661026736930"
"アズビル","6845","656314957392"
"TOTO","5332","656069667979"
"三井化学","4183","654750836900"
"富士ソフト","9749","654454000000"
"ミスミグループ本社","9962","654438263109"
"日産化学","4021","642366400000"
"ヤマトホールディングス","9064","642224500498"
"ロート製薬","4527","640161309255"
"マツダ","7261","639385626748"
"九州電力","9508","635880678291"
"栗田工業","6370","635733996874"
"しまむら","8227","635425528986"
"コスモエネルギーホールディングス","5021","633496466370"
"浜松ホトニクス","6965","631610504020"
"キヤノンマーケティングジャパン","8060","630101425404"
"イビデン","4062","630069271461"
"神戸製鋼所","5406","622263161910"
"飯田グループホールディングス","3291","621880748426"
"山崎製パン","2212","619435402320"
"オープンハウスグループ","3288","617283826500"
"小糸製作所","7276","611048846420"
"コスモス薬品","3349","608812176000"
"王子ホールディングス","3861","607208955656.2001"
"きんでん","1944","606099470280"
"コーエーテクモホールディングス","3635","605142511662"
"TBSホールディングス","9401","602038693115"
"近鉄グループホールディングス","9041","601348140394"
"住信SBIネット銀行","7163","599405355000"
"日本碍子","5333","594901991372"
"ヤマハ","7951","593085450000"
"長谷工コーポレーション","1808","593016153685.5"
"三菱瓦斯化学","4182","592954393670.5"
"MARUWA","5344","591505320000"
"GMOペイメントゲートウェイ","3769","585665219250"
"シャープ","6753","585365884200"
"ローム","6963","584216000000"
"ニコン","7731","582748345388"
"アコム","8572","574947373966"
"九州旅客鉄道","9142","574308141600"
"参天製薬","4536","559098246144"
"東北電力","9506","558702551935"
"住友化学","4005","545887480075.19995"
"三共","6417","543270000000"
"サイバーエージェント","4751","540301058000"
"パーソルホールディングス","2181","536592880161"
"横浜ゴム","5101","536114194122"
"J.フロント リテイリング","3086","534637949664"
"すかいらーくホールディングス","3197","534175165600"
"サッポロホールディングス","2501","533752574652"
"東武鉄道","9001","532721353919"
"日清製粉グループ本社","2002","531561056631.5"
"KOKUSAI ELECTRIC","6525","529214751611"
"ニチレイ","2871","529062522792"
"綜合警備保障","2331","528822517665"
"アマダ","6113","523270742878"
"丸井グループ","8252","520086089372.5"
"古河電気工業","5801","516928497855"
"オービックビジネスコンサルタント","4733","516140380000"
"メディパルホールディングス","7459","514502370150"
"八十二銀行","8359","514024307712"
"小田急電鉄","9007","512396075488.5"
"インターネットイニシアティブ","3774","511635381012"
"いよぎんホールディングス","5830","504588217910"
"日油","4403","501782420832"
"日本ハム","2282","498938848784"
"NECネッツエスアイ","1973","493507296405"
"コカ・コーラボトラーズジャパンホールディングス","2579","492569400084"
"LIXIL","5938","491783197290"
"サンドラッグ","9989","489377185584"
"東京建物","8804","486942345072"
"リンナイ","5947","485354758839"
"大和工業","5444","483340000000"
"BIPROGY","8056","481971187980"
"スギホールディングス","7649","480491067906"
"THK","6481","475016551174"
"関電工","1942","473600195766"
"三浦工業","6005","471094581120"
"ライオン","4912","467891867170"
"京王電鉄","9008","465996758750"
"ウエルシアホールディングス","3141","463257784200"
"日本発條","5991","462871442096"
"東京応化工業","4186","458163000000"
"カカクコム","2371","456397635750"
"博報堂DYホールディングス","2433","453057624068"
"KADOKAWA","9468","453000263400"
"住友ゴム工業","5110","450461235112.5"
"小林製薬","4967","449802150000"
"ソシオネクスト","6526","448893465210"
"太平洋セメント","5233","448539131806"
"電源開発","9513","445820954050"
"フジテック","6406","444838200000"
"日本空港ビルデング","9706","444676139600"
"三菱倉庫","9301","444432107227.5"
"スタンレー電気","6923","441867200000"
"群馬銀行","8334","441220151372"
"関西ペイント","4613","438413132745"
"イオンモール","8905","438054807575"
"キユーピー","2809","437518000000"
"ツルハホールディングス","3391","435208405716"
"セイノーホールディングス","9076","431288141334"
"ヤマダホールディングス","9831","427450220277.9"
"高砂熱学工業","1969","426423409542"
"日本製鋼所","5631","423856287270"
"アルフレッサホールディングス","2784","422211460000"
"コムシスホールディングス","1721","418152000000"
"エア・ウォーター","4088","418039326211.5"
"東邦瓦斯","9533","416288607175"
"コーセー","4922","408211948717"
"伊藤園","2593","407909665968"
"岩谷産業","8088","405949350868"
"ハーモニック・ドライブ・システムズ","6324","404524680000"
"東洋製罐グループホールディングス","5901","401493315846"
"髙島屋","8233","397937259832"
"SUMCO","3436","396223169778.5"
"フジ・メディア・ホールディングス","4676","395905802250"
"タカラトミー","7867","391504830300"
"NOK","7240","391379662888.5"
"久光製薬","4530","391332692525"
"デクセリアルズ","4980","390458979900"
"カルビー","2229","389668753100"
"東映","9605","388422306700"
"オルガノ","6368","386639898000"
"堀場製作所","6856","386622715680"
"ゴールドウイン","8111","386512809112"
"山口フィナンシャルグループ","8418","382436446464"
"住友重機械工業","6302","379532125328"
"ダイセル","4202","378620868899"
"ジェイテクト","6473","378129867160.5"
"ヤオコー","8279","376043129088"
"上組","9364","374784942928"
"ニフコ","7988","373056494213"
"トヨタ紡織","3116","371108996895"
"SHIFT","3697","368972590820"
"九電工","1959","368143472395"
"全国保証","7164","367706486810"
"TOYO TIRE","5105","366861304534.5"
"スズケン","9987","365537580144"
"セブン銀行","8410","364170310400"
"ワークマン","7564","362581394880"
"日本光電工業","6849","362276403880"
