会社,証券コード,時価総額,売上高 (通期),営業利益 (通期),売上成長率（％） (通期),営業利益率 (%) (通期)
"バリューコマース","2491","40296599000","29396000000","5229000000","-17.676711101153813","17.78813444005987"
"ロック・フィールド","2910","40049178260","51357000000","1738000000","2.775665399239543","3.384154058843001"
"ヤマタネ","9305","40044958930","64512000000","3489000000","26.271285965942454","5.4082961309523805"
"ソディック","6143","39943542231","67174000000","-2819000000","-16.54885396608485","-4.196564146842528"
"FJネクストホールディングス","8935","39843475000","100405000000","9431000000","18.558709616474587","9.392958518002091"
"アイティフォー","4743","39827764800","20652000000","3737000000","12.714602282607146","18.09509974820841"
"地主","3252","39661900200","31597000000","6154000000","-36.66285805921382","19.47653258220717"
"進和","7607","39541220017","77845000000","3559000000","2.27","4.571905710064873"
"ウイン・パートナーズ","3183","39532289760","77064000000","2626000000","8.763780182111304","3.407557354925776"
"セントラル警備保障","9740","39442034104","68010836000","4316616000","4.92","6.346953300206455"
"ヨコオ","6800","39399998456","76895000000","1617000000","-1.3686154793360856","2.102867546654529"
"瑞光","6279","39283200000","21737710000","1027672000","-17.9869059508013","4.727600101390625"
"秋田銀行","8343","39245111667","42734000000","","-8.806896993235313",""
"エーアイテイー","9381","39170476800","51400000000","4328000000","-26","8.42023346303502"
"ヤーマン","6630","39152098480","32023000000","416000000","-25.521512219142167","1.2990662960996784"
"巴工業","6309","39130838000","52119000000","4703000000","5.019343918755538","9.023580651969532"
"水戸証券","8622","39091035249","14554000000","2391000000","29.992854590925333","16.42847327195273"
"フォスター電機","6794","39000000000","122447000000","4412000000","0.9139758360942096","3.603191584930623"
"新光商事","8141","38884809018","175847000000","4878000000","-1.8031450333936334","2.774002399813474"
"ワタミ","7522","38843240800","82302000000","3753000000","5.621005621005622","4.560034993074288"
"中部飼料","2053","38633066976","234227000000","3932000000","-3.798731702508661","1.6787133848787712"
"高千穂交易","2676","38500263000","25224000000","1465000000","7.975014725422241","5.807960672375515"
"小野建","7414","38289911954","281933000000","8219000000","7.340483451550142","2.915231633047568"
"日本ヒューム","5262","38239792500","33732000000","1381000000","5.82067016620671","4.094035337365113"
"佐賀銀行","8395","38230212979","53013000000","","11.196643943366553",""
"TAKARA & COMPANY","7921","38118243114","29278000000","4231000000","6.2","14.451123710635972"
"テイカ","4027","38045377758","52993000000","2325000000","-3.2497763496613317","4.387371917045647"
"あさひ","3333","37891715200","78076416000","4912078000","4.503030546307585","6.291372288400124"
"ギフティ","4449","37836901674","7226000000","1267000000","52.99597713317809","17.533905341821203"
"鉄建建設","1815","37746515004","183586000000","958000000","14.2108832110885","0.5218262830499057"
"KOA","6999","37727102768","64835000000","3313000000","-13.636242540494464","5.109894347189018"
"三陽商会","8011","37704703858","61353000000","3047000000","5.29","4.9663423141492675"
"新日本電工","5563","37597669528","76406000000","4741000000","-3.69922234405918","6.205010077742585"
"椿本興業","8052","37584252696","113503000000","5233000000","5.131387605012833","4.610450825088323"
"フージャースホールディングス","3284","37581276950","86418000000","8943000000","8.995282899881445","10.348538498923835"
"薬王堂ホールディングス","7679","37565636757","142241000000","5209000000","10.44","3.6620946140704858"
"アイネス","9742","37348300000","40557000000","2877000000","-4.355721158381286","7.093719949700422"
"セレス","3696","37317962500","24070000000","1118000000","17.206977686362507","4.644786040714583"
"フジ・コーポレーション","7605","37294366000","46142013000","5479071000","2.3295296899149065","11.874364909047207"
"大倉工業","4221","37008727470","78863000000","4956000000","2.0748123220295014","6.284315838859794"
"大崎電気工業","6644","36851850640","95147000000","5874000000","6.603699595531793","6.173605053233418"
"シーアールイー","3458","36842658500","66901000000","8045000000","28.263578672904003","12.025231311938537"
"市光工業","7244","36799674332","145897000000","7422000000","7.712013938619862","5.087150523999808"
"クリーク・アンド・リバー社","4763","36768382000","49799694000","4103604000","12.87","8.240219307371648"
"藤倉コンポジット","5121","36482301204","37785000000","3624000000","-7.133384920162484","9.591107582373958"
"東京エネシス","1945","36407675832","88467000000","3959000000","11.905635317184249","4.475115014638226"
"日本トムソン","6480","36383205375","55048000000","3164000000","-19.355405801347786","5.747711088504578"
"第一工業製薬","4461","36380113005","63118000000","2077000000","-3.0162412993039425","3.2906619347888086"
"サンワテクノス","8137","36371748000","166138000000","6215000000","-8.217641826830118","3.740866027037764"
"東陽テクニカ","8151","36362490000","35042000000","3366000000","24.385915093000136","9.605616117801494"
"スクロール","8005","36362097800","79826000000","5313000000","-1.4712779876076922","6.655726204494776"
"オプティム","3694","36356724224","10243000000","1940000000","10.408850126803642","18.93976374109148"
"高周波熱錬","5976","36247566400","57205000000","1632000000","-0.5545511438703841","2.8528974739970283"
"わらべや日洋ホールディングス","2918","36185479980","207009000000","6380000000","6.48","3.081991604229768"
"富士製薬工業","4554","36165301800","46138000000","3880000000","12.837193377191909","8.409553946855088"
"日本空調サービス","4658","35998704000","58232000000","3630000000","10.108535340165645","6.233685945871685"
"スタジオアリス","2305","35986751100","36396115000","2283756000","-5.62","6.274724651243684"
"岡部","5959","35982161360","78152000000","4082000000","1.6889166471491421","5.2231548776742756"
"山田コンサルティンググループ","4792","35971968000","22177000000","3662000000","34.80897603959957","16.51260314740497"
"プロネクサス","7893","35948544336","30117256000","2435097000","12.360887103618978","8.085387991522202"
"SBIアルヒ","7198","35903872510","20405000000","","-9.716384230786247",""
"早稲田アカデミー","4718","35895509376","32867000000","2889000000","6.958999787722163","8.789971704140932"
"建設技術研究所","9621","35864964838","93057000000","10011000000","11.46553273043061","10.757922563590059"
"オロ","3983","35544196600","7033155000","2547337000","13.242293881186612","36.218979959918414"
"日本甜菜製糖","2108","35524838156","69297000000","910000000","6.589451340501128","1.3131881611036553"
"シーティーエス","4345","35501200000","11090000000","2865000000","2.7137167731777367","25.83408476104599"
"島精機製作所","6222","35442000000","35910000000","430000000","-5.215646940822467","1.1974380395433026"
"石原ケミカル","4462","35429622240","20705000000","2328000000","1.7690263351010032","11.243660951461"
"マーベラス","7844","35214482400","29493000000","2415000000","16.384515212501483","8.188383684264062"
"ステップ","9795","35107020000","15098935000","3511470000","4.548723418516303","23.256408481790274"
"魚力","7596","35029520000","36344000000","1582000000","7.707231214091422","4.352850539291217"
"八洲電機","3153","34873782500","64862000000","3894000000","7.61904761904762","6.00351515525269"
"CAC Holdings","4725","34694424600","50539000000","3327000000","5.353234245690103","6.583034883951008"
"ドリームインキュベータ","4310","34430179000","5378000000","1966000000","-82.15186512677552","36.556340647080695"
"不動テトラ","1813","34413632414","67947000000","2656000000","-3.5747736497034026","3.908929018205366"
"アイロムグループ","2372","34399361620","17740000000","1134000000","-3.3295188273118583","6.392333709131905"
"オークワ","8217","34335108423","235038000000","2888000000","0.13","1.228737480747794"
"コンドーテック","7438","34326753200","76873000000","4673000000","1.8900685249247715","6.078857336125818"
"CARTA HOLDINGS","3688","34257514734","24111000000","1301000000","-7.050886661526604","5.395877400356683"
"ワールドホールディングス","2429","34223185100","213742000000","10365000000","16.39185362666086","4.849304301447539"
"アイスタイル","3660","34133245467","56085000000","1940000000","30.7647470272791","3.4590353927074977"
"日阪製作所","6247","34042112000","34180000000","2457000000","0.3110876327992145","7.188414277355179"
"エステー","4951","34040000000","44472000000","1341000000","-2.4223275408109544","3.0153804641122504"
"柿安本店","2294","34029277800","37052000000","2200000000","-2.2323077734972827","5.937601209111519"
"カナデン","8081","33913200000","116271000000","4544000000","9.257745327432133","3.9081112229188704"
"モロゾフ","2217","33811916040","34933000000","2474000000","7.466862717627862","7.082128646265709"
"小松マテーレ","3580","33779402217","36670000000","1856000000","3.476494158812571","5.061358058358331"
"萩原電気ホールディングス","7467","33743530000","225150000000","7711000000","21.047736302492993","3.4248278925161"
"テラスカイ","3915","33704053420","19137184000","522803000","23.94","2.7318700598792383"
"学情","2301","33702960000","10730691000","2656628000","22.151102909035274","24.75728729864647"
"大日本塗料","4611","33691908852","71940000000","4901000000","-1.2477865173166407","6.81262162913539"
"ACCESS","4813","33648088200","16573000000","-105000000","26.898034102669428","-0.6335606106317504"
"共同印刷","7914","33563700000","96992000000","1577000000","3.886978781744375","1.6259072913229957"
"CKサンエツ","5757","33517260000","111433000000","7929000000","-10.017119139520986","7.115486435795501"
"ヨータイ","5357","33413688000","29128000000","3602000000","3.105581311695687","12.366108212029662"
"トーヨーカネツ","6369","33333911370","53787000000","3090000000","13.592109987117482","5.744882592447989"
"リズム","7769","33288819210","32602000000","730000000","4.389869040376553","2.2391264339611068"
"いちよし証券","8624","33265825522","18837000000","2803000000","13.026521060842427","14.880288793332271"
"ジェコス","9991","33153626826","128194000000","6244000000","6.3665253358336","4.870742780473345"
"日本リーテック","1938","32970001779","58542000000","3432000000","8.925183514708792","5.862457722660654"
"小松ウオール工業","7949","32884171840","43551000000","3640000000","15.29969289420734","8.358017037496268"
"アレンザホールディングス","3546","32880597354","145534000000","4106000000","0.29","2.8213338463864113"
"名糖産業","2207","32827597700","24392000000","232000000","7.3260879130549625","0.9511315185306658"
"NJS","2325","32706240000","22027578000","1618648000","14.537057956248063","7.348279506716534"
"北陸電気工事","1930","32421038262","53398000000","3425000000","19.069705213396944","6.414097906288625"
"あみやき亭","2753","32360580000","33267000000","2221000000","16.57","6.676285808759432"
"綿半ホールディングス","3199","32328399912","128072000000","2822000000","-4.636668925308456","2.203448060465988"
"TOA","6809","32224983440","48814000000","3028000000","8.17986392748709","6.203138443889048"
"I-ne","4933","32202356640","41643000000","4379000000","18.0725282826278","10.515572845376173"
"山形銀行","8344","32175000000","55097000000","","7.644967177242876",""
"コプロ・ホールディングス","7059","32160000000","24098000000","2141000000","28.23975267363494","8.884554734832765"
"WDBホールディングス","2475","32075940000","49297000000","5468000000","3.5598044688712065","11.091952857171835"
"エターナルホスピタリティグループ","3193","32031058800","41914000000","3248000000","25.307184071272687","7.749200744381353"
"アイティメディア","2148","32024858600","8001497000","2228289000","-8.580471209207246","27.84840136789403"
"なとり","2922","31808154244","47578000000","2125000000","5.508935583200099","4.466349993694565"
"東光高岳","6617","31787623665","107378000000","8247000000","9.847368851788204","7.680344204585669"
"日本金銭機械","6418","31749736570","31610000000","2839000000","25.145594091195946","8.981335020563112"
"デジタル・インフォメーション・テクノロジー","3916","31592709160","19888000000","2424000000","9.578414022158114","12.188254223652454"
"井村屋グループ","2209","31511569600","48222000000","2537000000","7.915084242558152","5.261084152461533"
"京三製作所","6742","31296436998","70525000000","2491000000","-2.4914623861075285","3.532080822403403"
"ダイト","4577","31218726960","46895000000","3894000000","3.98","8.303657106301312"
"アジアパイルホールディングス","5288","31195539648","103151000000","7016000000","-6.434758945983944","6.801679091816851"
"タツモ","6266","31183785754","28161000000","3654000000","15.62131357242555","12.97539149888143"
"ヨシックスホールディングス","3221","31083000000","21117000000","2322000000","23.56758705803756","10.995880096604632"
"三信電気","8150","30820639089","140197000000","5748000000","-12.978951876703064","4.099945077284108"
"トーホー","8142","30756979638","244930000000","7819000000","13.618651772957534","3.1923406687625033"
"日本トリム","6788","30731569000","20414000000","3080000000","13.716370071415596","15.087684922112278"
"栃木銀行","8550","30690240000","45276000000","","0.1194109061960944",""
"日本板硝子","5202","30620507165","832537000000","35860000000","9.039175084902709","4.307316071237675"
"ファンコミュニケーションズ","2461","30618152736","7396000000","2068000000","-4.413928529379348","27.961060032449975"
"多木化学","4025","30599114480","34852000000","912000000","-2.7729732745634124","2.6167795248479284"
"フリービット","3843","30578684000","53037000000","5887000000","13.395939528665266","11.09979825404906"
"佐藤商事","8065","30540469050","273975000000","6479000000","-0.374900911252837","2.364814307874806"
"たけびし","7510","30533260000","101355000000","3736000000","4.056301589257117","3.6860539687237925"
"アイ・ピー・エス","4390","30412403400","14117000000","3894000000","14.344727037097044","27.583764255861727"
"CIJ","4826","30393221040","25733000000","1964000000","12.570945768302707","7.632223215326624"
"空港施設","8864","30198229500","25950000000","3183000000","1.6990123085981423","12.265895953757225"
"フコク","5185","30094003170","88847000000","3646000000","7.931436623824666","4.103683861019506"
"ケンコーマヨネーズ","2915","30085176000","88724000000","2949000000","7.723128103638771","3.323790631621658"
"丸文","7537","30014784000","236490000000","12984000000","4.562477063814541","5.49029557275149"
"シモジマ","7482","29985443368","57794000000","3262000000","5.026531947372234","5.644184517423954"
"保土谷化学工業","4112","29952864560","44261000000","3951000000","2.162773520450557","8.926594518876664"
"日本車輌製造","7102","29922349468","88058000000","6060000000","-10.116465412528456","6.8818278861659365"
"キャリアリンク","6070","29915975000","43791000000","3279000000","-16.647094694142467","7.48783996711653"
"大平洋金属","5541","29894187417","15521000000","-9114000000","-55.465970389073796","-58.72044327040783"
"ラクト・ジャパン","3139","29884411200","170907000000","4455000000","7.94","2.6066808264143657"
"森六ホールディングス","4249","29868720000","145638000000","5706000000","2.5482505861891696","3.917933506365097"
"フィード・ワン","2060","29858251328","313875000000","7748000000","1.9369233317419514","2.4684986061330147"
"リオン","6823","29747222700","25726000000","3474000000","7.7840884357426745","13.503848246909742"
"LITALICO","7366","29566730736","29792000000","3715000000","23.260239966901125","12.469790547798066"
"IDホールディングス","4709","29538650655","32680000000","2769000000","5.075814547360679","8.473072215422278"
"立川ブラインド工業","7989","29505075600","41305000000","4046000000","0.02154682783377382","9.795424282774484"
"ダイトロン","7609","29340224770","92156000000","5943000000","5.152909018441136","6.448847606232909"
"杉本商事","9932","29296039090","46636000000","2281000000","2.3645338102794113","4.891071275409555"
"ライク","2462","29203269600","60469000000","3333000000","0.76","5.511915196216243"
"スミダコーポレーション","6817","29131074862","147672000000","8564000000","6.545454545454547","5.799339075789588"
"フリュー","6238","29088288000","42768000000","3771000000","17.492794747768798","8.817340067340067"
"佐鳥電機","7420","28894389860","148113000000","4755000000","1.21","3.2103866642360903"
"愛知時計電機","7723","28819980000","51225000000","3617000000","2.1232057416267907","7.061005368472426"
"日本シイエムケイ","6958","28778663664","90568000000","3529000000","8.024809160305352","3.8965197420722553"
"eBASE","3835","28770528000","5192000000","1651000000","10.125174059073487","31.798921417565484"
"スペース","9622","28675143882","52793000000","2574000000","13.029898166897965","4.875646392514159"
"バロックジャパンリミテッド","3548","28570837700","60290000000","1954000000","2.46","3.241001824514845"
"リソルホールディングス","5261","28488704000","25717000000","2122000000","16.569457460443004","8.25135124625734"
"インテリジェント ウェイブ","4847","28394520000","14518293000","2030956000","8.548496340580897","13.988944843584573"
"ソースネクスト","4344","28362526400","11334000000","-2271000000","9.531809017268515","-20.03705664372684"
"アイモバイル","6535","28317680556","18735000000","3549000000","14.056982832095471","18.943154523618897"
"WOWOW","4839","28267512000","74869000000","1450000000","-2.8949040868471343","1.9367161308418706"
"エイチワン","5989","28108901700","232730000000","-18826000000","3.201174222100022","-8.089202079663128"
"カーリット","4275","27922050000","36577000000","3352000000","1.580204399022449","9.164228887005494"
"日工","6306","27880000000","44097000000","1968000000","11.173578721795025","4.46288863187972"
"ユーザーローカル","3984","27847577400","3907679000","1728000000","18.81683615977252","44.22062303479892"
"マークラインズ","3901","27778350400","4845000000","1991000000","17.445292189100243","41.09391124871001"
"ブックオフグループホールディングス","9278","27594621000","111657000000","3051000000","9.64","2.732475348612268"
"ヨロズ","7294","27561199600","181468000000","4459000000","13.02","2.457182533559636"
"PR TIMES","3922","27557223703","6836966000","1746581000","19.82","25.546141373234853"
"ナック","9788","27501965000","54966000000","2823000000","-3.683325155954293","5.135902194083615"
"ファーマフーズ","2929","27421497000","62147000000","5113000000","-9.36971358572012","8.22726760744686"
"アミューズ","4301","27395197920","54813000000","1367000000","4.411680667466712","2.4939339207852154"
"力の源ホールディングス","3561","27337816000","31776000000","3296000000","21.671806460651922","10.372608257804632"
"中央倉庫","9319","27300932504","26512000000","1934000000","2.4837702461690156","7.2948098974049485"
"三菱化工機","6331","27144848500","47774000000","4410000000","7.1406144875532505","9.230962448193578"
"マネジメントソリューションズ","7033","27101369700","19527415000","2357028000","15.335272576929881","12.070353398030411"
"サックスバーホールディングス","9990","27082929300","52093000000","3764000000","10.280828808494974","7.225538939972741"
"コア","2359","26954431860","23998000000","3140000000","5.032670289983045","13.084423701975165"
"セントラルスポーツ","4801","26911406100","45379000000","2653000000","4.075501123801658","5.84631657815289"
"日本コークス工業","3315","26909100961","135152000000","4390000000","-22.35410371017224","3.2481946253107608"
"内外トランスライン","9384","26905470000","32280000000","4203000000","-31.78463029953437","13.020446096654275"
"フジ住宅","8860","26900435760","120388000000","7264000000","5.166406742600358","6.033823969166362"
"東洋エンジニアリング","6330","26759603858","260825000000","6712000000","35.206938022269696","2.573372951212499"
"GSIクレオス","8101","26623917736","146194000000","2881000000","11.552489813359372","1.9706691109074244"
"東邦システムサイエンス","4333","26560307676","16280472000","1574786000","5.400362481277881","9.672852236716478"
"MS-Japan","6539","26471399400","4574000000","1623000000","6.535290222487333","35.48316571928291"
"明和産業","8103","26446740000","158279000000","2970000000","1.0321584047184444","1.876433386614775"
"キングジム","7962","26426141280","39553000000","-241000000","0.4038721833550909","-0.6093090283922837"
"白銅","7637","26418545700","57253000000","2523000000","-7.060016765656769","4.406755977852689"
"スター・マイカ・ホールディングス","2975","26384000000","55849000000","5524000000","14.26","9.890955970563484"
"三菱製紙","3864","26307962604","193462000000","5410000000","-7.673879222303881","2.7964147998056466"
"ミスターマックス・ホールディングス","8203","26262181842","129570000000","3021000000","2.1","2.331558231072007"
"河合楽器製作所","7952","26259685840","80192000000","3255000000","-8.634970548358794","4.059008379888268"
"グッドコムアセット","3475","26225613600","59753000000","5451000000","169.27895448400182","9.122554516091244"
"フィデアホールディングス","8713","26197224168","49944000000","","-2.853474937270235",""
"オーハシテクニカ","7628","26189619280","39212000000","1641000000","12.115498978445729","4.184943384678159"
"三櫻工業","6584","26163960000","156814000000","8053000000","13.887517067077255","5.135383320366804"
"ビジネスブレイン太田昭和","9658","26149875000","34217891000","20697315000","-7.6751750954327065","60.486822522171224"
"前澤化成工業","7925","25989264000","23925000000","1773000000","1.8301766333262321","7.410658307210031"
"IBJ","6071","25956000000","17649000000","2230000000","19.925398777941908","12.635276786220182"
"平河ヒューテック","5821","25948121600","29326000000","1667000000","-8.99329692154916","5.6843756393643865"
"ハードオフコーポレーション","2674","25884670000","30105000000","2803000000","11.331650051544287","9.310745723301778"
"六甲バター","2266","25785454250","44296190000","626575000","5.6579750856147655","1.4145121736203499"
"LIFULL","2120","25639815170","34466000000","-3241000000","-5.326191457217405","-9.40347008646202"
"E・Jホールディングス","2153","25581561720","37207000000","4348000000","-0.81","11.68597306958368"
"GMOグローバルサイン・ホールディングス","3788","25525819000","17499000000","1289000000","9.642417474015147","7.366135207726156"
"Sun Asterisk","4053","25475653800","12516000000","1775000000","16.481347535446034","14.18184723553851"
"ネオジャパン","3921","25459563600","6615000000","1296000000","10.120058331169218","19.591836734693878"
"日本アクア","1429","25444320000","28341797000","2881973000","10.40736527035915","10.168631861981089"
"NISSOホールディングス","9332","25382441120","96858000000","3058000000","","3.1571991988271493"
"プロシップ","3763","25325693200","6812000000","1632000000","3.207992892405514","23.95772166764533"
"朝日放送グループホールディングス","9405","25308965000","90452000000","832000000","3.934365951188127","0.9198248794940963"
"電算システムホールディングス","4072","25272382550","59591000000","3964000000","11.428785130612013","6.652011209746438"
"中外炉工業","1964","25272000000","29283000000","1477000000","4.668120241627065","5.0438821159034255"
"コーア商事ホールディングス","9273","25271988000","22134000000","4382000000","0.36819810924706076","19.797596457938013"
"北日本銀行","8551","25194168240","29017000000","","22.75573229545647",""
"ヤマウラ","1780","25113181660","37546000000","4327000000","19.642740264233737","11.524529909977096"
"鈴木","6785","25106869200","27726000000","3369000000","5.124977241121115","12.15104955637308"
"日本コンセプト","9386","24935563000","17292000000","3304000000","-25.08159269636512","19.10710154984964"
"ソーダニッカ","8158","24874344000","64134000000","2213000000","2.215351268647197","3.4505878317273213"
"広島ガス","9535","24793386516","90670000000","3185000000","-4.777407870277997","3.512738502260946"
"ヨシムラ・フード・ホールディングス","2884","24622238720","49781000000","2429000000","42.48","4.8793716478174405"
"燦ホールディングス","9628","24593400000","22437000000","3789000000","3.572912339011225","16.887284396309667"
"新電元工業","6844","24585866152","102261000000","1278000000","1.241498113992094","1.249743303898847"
"リックス","7525","24364800000","49752000000","3544000000","10.013185572953276","7.123331725357775"
"アイネット","9600","24363636000","37763000000","2887000000","7.928714974362535","7.645049386966078"
"シュッピン","3179","24360180112","48841841000","3343503000","7.0658096492953035","6.84557119785882"
"三菱製鋼","5632","24303320496","169943000000","4808000000","-0.34831151011218253","2.82918390283801"
"富士石油","5017","24236939870","723730000000","16199000000","-14.941653356650832","2.238265651555138"
"群栄化学工業","4229","24232443444","30310000000","2729000000","-3.440586173940744","9.003629165291983"
"エアトリ","6191","24227781530","26635000000","2401000000","14.994387358604612","9.014454664914586"
"Fast Fitness Japan","7092","24192281380","15825000000","3504000000","7.019679448163927","22.142180094786728"
"日神グループホールディングス","8881","24132947640","81023000000","3579000000","-1.609078879771829","4.417264233612678"
"ブレインパッド","3655","24084643680","10561125000","1348000000","7.789261373158325","12.763791736202347"
"イートアンドホールディングス","2882","24028646460","35922000000","1059000000","8.75","2.9480541172540504"
"オエノンホールディングス","2533","24004547736","84947000000","3585000000","4.717702169625241","4.22027852661071"
"紀文食品","2933","23902780707","106684000000","4641000000","0.9386440472668482","4.350230587529526"
"ブルドックソース","2804","23862844800","14482000000","163000000","7.041112967400352","1.1255351470791326"
"ファインデックス","3649","23788267200","5191000000","1496000000","14.307936022788482","28.81910999807359"
"アルビス","7475","23741450190","97798000000","2142000000","3.3875452820015823","2.190228839035563"
"クリナップ","7955","23701022742","127982000000","1282000000","3.2013030997000413","1.0017033645356377"
"ブイ・テクノロジー","7717","23685648000","37335000000","846000000","-13.468224169100267","2.2659702691844115"
"グルメ杵屋","9850","23551762700","37033000000","422000000","23.88102564377037","1.1395242081386872"
"東和銀行","8558","23460752263","34138000000","","1.86494793065377",""
"大同メタル工業","7245","23427484729","128738000000","6084000000","11.480775891929326","4.725877363327068"
"北の達人コーポレーション","2930","23417952000","14665867000","1449145000","49.17","9.881072833948378"
"And Doホールディングス","3457","23370583200","67579000000","3587000000","36.37996448175653","5.307861909764868"
"IMAGICA GROUP","6879","23310304307","99684000000","3924000000","5.880433179323205","3.9364391477067535"
"エコス","7520","23239589415","130039000000","5714000000","9.22","4.394066395465976"
"扶桑薬品工業","4538","23117559374","55407000000","1964000000","8.609232578653334","3.5446784702293934"
"スターティアホールディングス","3393","22979457600","19571000000","2282000000","-2.166557599033041","11.66010934546012"
"セック","3741","22963200000","8534531000","1467298000","13.961117561325082","17.19248544530449"
"サムコ","6387","22954382374","8203159000","2017161000","4.757852887476815","24.590051222949597"
"メディアドゥ","3678","22926360692","94036000000","2066000000","-7.51","2.1970309243268535"
"日東精工","5957","22911414741","44744000000","2614000000","1.6413173681531816","5.8421240836760235"
"ティラド","7236","22908628225","158659000000","4350000000","6.188216554115101","2.7417291171632243"
"ウィルグループ","6089","22716495900","138227000000","4525000000","-3.9636772920545837","3.273600671359431"
"エスプール","2471","22596145000","25554000000","2783000000","-0.89","10.890662909916255"
"アイ・ケイ・ケイホールディングス","2198","22527513600","23263000000","2490000000","5.788994997726249","10.70369255899927"
"ソリトンシステムズ","3040","22482593432","19058000000","2608000000","-3.5379865364174634","13.684541924651064"
"カナミックネットワーク","3939","22429512000","5007000000","1439000000","33.66257341163907","28.73976432993809"
"帝国通信工業","6763","22422643425","15223000000","947000000","-7.703985832140447","6.220850029560533"
"システムリサーチ","3771","22421520000","23320000000","2703000000","8.18","11.59090909090909"
"学究社","9769","22331572816","13198000000","2694000000","1.629052572051279","20.412183664191545"
"ジェイリース","7187","22151337600","13220000000","2606000000","20.610126670739916","19.712556732223906"
"ハリマ化成グループ","4410","22142256204","92330000000","-211000000","-2.307535581726512","-0.22852810570778728"
"DDグループ","3073","22112821280","37079000000","3243000000","15.03","8.746190566088622"
"ダブルスタンダード","3925","21999600000","7147000000","2309000000","3.4137834787111956","32.30726178816287"
"荒川化学工業","4968","21932848800","72222000000","-2617000000","-9.075801639158513","-3.62354961092188"
"高島","8007","21919408728","90120000000","1748000000","13.09815142502164","1.9396360408344429"
"萩原工業","7856","21884574400","33118244000","2097562000","5.9953400544087145","6.33355439980453"
"マルマエ","6264","21850722000","4749003000","156519000","-30.86","3.2958286191859636"
"デジタルホールディングス","2389","21807423843","16264000000","616000000","-3.899787284329946","3.787506148548942"
"ホッカンホールディングス","5902","21685713070","90933000000","4390000000","-2.9115951313260666","4.827730306929277"
"グローバル・リンク・マネジメント","3486","21640066632","41258000000","4586000000","15.654840521455384","11.115420039749866"
"ルネサンス","2378","21592790000","43627000000","1261000000","7.032057974491849","2.8904119008870652"
"SPK","7466","21378021000","63302000000","3145000000","15.735008260348081","4.968247448737797"
"イー・ガーディアン","6050","21349060124","11391000000","1705000000","-4.349651524057435","14.967957159160742"
"大真空","6962","21247620216","39343000000","2135000000","2.37320676452633","5.426632437790713"
"アルインコ","5933","21207640608","57876000000","1781000000","-4.680318877239699","3.077268643306379"
"アキレス","5142","21169819892","78607000000","-958000000","-5.197969053390736","-1.2187209790476674"
"セグエグループ","3968","21049151688","17443000000","1086000000","28.04288111530832","6.225993235108639"
"筑波銀行","8338","20968645134","41092000000","","10.766079033910188",""
"井関農機","6310","20847388651","169916000000","2253000000","1.97264581795487","1.3259492925916334"
"JPMC","3276","20833032000","57353000000","2576000000","2.000898628041398","4.491482572838387"
"日本コンクリート工業","5269","20742098088","53650000000","1807000000","1.2530159810286676","3.3681267474370924"
"日精樹脂工業","6293","20735232000","47068000000","1724000000","-9.84005363470932","3.6627857567774287"
"ミガロホールディングス","5535","20700498000","42672000000","2500000000","","5.858642669666292"
"東京産業","8070","20419082032","65029000000","-4540000000","1.7859378913097856","-6.981500561288041"
"東京製綱","5981","20416643710","64231000000","3901000000","-4.325612571683919","6.073391353084959"
"朝日ネット","3834","20384000000","12217000000","1965000000","0.3861955628594842","16.084145043791438"
"明光ネットワークジャパン","4668","20352235200","22579000000","1010000000","8.18","4.473183046193366"
"ビーウィズ","9216","20311471400","38253000000","2543000000","8.8","6.6478446134943665"
"双葉電子工業","6986","20279981242","56360000000","-1141000000","-6.57427974670955","-2.024485450674237"
"アサンテ","6073","20226843000","13693000000","946000000","-3.1707838117503684","6.9086394508142845"
"日本化学工業","4092","20183317050","38538000000","2264000000","1.2160210111621836","5.874721054543568"
"アルトナー","2163","20150536320","10110524000","1522849000","9.393315127305144","15.062018546219761"
"鎌倉新書","6184","20109514000","5859000000","816000000","17.08066876062348","13.927291346646186"
"SMK","6798","19980000000","46522000000","-1243000000","-15.170854454615082","-2.6718541765186363"
"三光合成","7888","19855504143","93784000000","4131000000","15.62","4.40480252495095"
"極東貿易","8093","19760582556","43660000000","1112000000","2.3513139695712226","2.5469537333944112"
"ニホンフラッシュ","7820","19722220000","25899000000","1499000000","-5.228035639440151","5.787868257461678"
"酒井重工業","6358","19702941990","33020000000","3318000000","4.958861180462961","10.048455481526346"
"日本ケミコン","6997","19702059834","150740000000","9422000000","-6.882215948752474","6.250497545442483"
"タナベコンサルティンググループ","9644","19696950000","12739000000","1009000000","8.329269958173441","7.920558913572494"
"ラサ工業","4022","19646014019","42788000000","3591000000","-13.733870967741936","8.392539964476022"
"チノー","6850","19566625108","27425000000","2173000000","15.26499390577061","7.923427529626253"
"日本通信","9424","19471090202","7400000000","1139000000","21.818459875550914","15.391891891891893"
"中越パルプ工業","3877","19417716352","107826000000","6172000000","2.042245523715792","5.724036874223286"
"日本高純度化学","4973","19233024000","11419624000","354369000","-29.7469854650832","3.103158212564617"
"エイチーム","3662","19195524000","23917000000","562000000","-13.193234610917543","2.349793034243425"
"ツバキ・ナカシマ","6464","18969417600","80337000000","853000000","1.646085328204876","1.0617772632784395"
"日本電波工業","6779","18942327495","50309000000","4344000000","-4.187933267311649","8.634637937545966"
