会社,証券コード,時価総額,売上高 (通期),営業利益 (通期),売上成長率（％） (通期),営業利益率 (%) (通期)
"ジェイ・エス・ビー","3480","60232584000","63781000000","7187000000","10.113506288819025","11.26824602938179"
"エスペック","6859","60071801244","62126000000","6585000000","17.458216743552896","10.599426970994429"
"リンクアンドモチベーション","2170","59926040000","33969000000","4623000000","3.639858432999759","13.609467455621301"
"三井松島ホールディングス","1518","59900274000","77472000000","25170000000","-3.1781540961069794","32.48915737298637"
"三十三フィナンシャルグループ","7322","59740596555","67848000000","","2.9544316474711962",""
"SBIグローバルアセットマネジメント","4765","59722617600","10137000000","2111000000","15.889665538789771","20.824701588241094"
"インテージホールディングス","4326","59709202000","63279000000","3289000000","3.0820622746041977","5.19761690292198"
"マンダム","4917","59709015244","73233000000","2020000000","9.226363595686607","2.7583193369109553"
"リンガーハット","8200","59617451964","38971129000","1004908000","6.42","2.578596067873733"
"富士紡ホールディングス","3104","59303200000","36108000000","2818000000","-4.143991080198575","7.804364683726598"
"トナミホールディングス","9070","59249336770","142072000000","5774000000","0.10710259301013991","4.0641364941719695"
"木曽路","8160","59114394119","52984000000","2246000000","15.35815371217069","4.239015551864714"
"福井コンピュータホールディングス","9790","58932900000","13821000000","5585000000","1.4013206162875917","40.40952174227625"
"オークネット","3964","58812600000","43303000000","6663000000","7.037936510879163","15.386924693439251"
"あすか製薬ホールディングス","4886","58742468478","62843000000","6500000000","3.939729743140205","10.343236319080884"
"都築電気","8157","58536070494","124856000000","6439000000","0.7724033285175835","5.157141026462485"
"ステラケミファ","4109","58468622400","30446000000","2722000000","-13.95","8.940419102673586"
"グリムス","3150","58465334000","29908000000","5217000000","-4.727622554719176","17.44349337969774"
"フルサト・マルカホールディングス","7128","58404176480","172980000000","5705000000","6.504285292089435","3.298069140941149"
"北越工業","6364","58128760486","51900000000","6187000000","5.917967452571872","11.921001926782274"
"フィックスターズ","3687","57919470000","7995000000","2304000000","13.597612958226762","28.818011257035646"
"イーレックス","9517","57715394208","244977000000","-19851000000","-17.324644293852415","-8.103209689072852"
"ビジョン","9416","57683219400","31807000000","4280000000","24.793395660585986","13.456157449618008"
"おきなわフィナンシャルグループ","7350","57656492820","53573000000","","1.6816292444056415",""
"日本農薬","4997","57622858646","103033000000","7438000000","0.9236947791164738","7.219046324963846"
"プレス工業","7246","57471026860","197817000000","12807000000","7.018350609162312","6.474165516613841"
"JPホールディングス","2749","57277808800","37856000000","4584000000","6.613029708496882","12.109044801352493"
"リテールパートナーズ","8167","57188068334","252161000000","6740000000","7.4","2.6728954913725755"
"サンマルクホールディングス","3395","57125643960","64556000000","2620000000","11.628452590952136","4.058491852035442"
"平田機工","6258","57114837900","82839000000","6047000000","5.602930279578587","7.299701831263053"
"トランザクション","7818","57047026800","25047000000","5233000000","9.1","20.892721683235518"
"東京鐵鋼","5445","56941054400","79617000000","10624000000","0.4897196733519138","13.343883843902685"
"日本精化","4362","56808908833","33531000000","4197000000","-8.978163635876498","12.516775521159524"
"シークス","7613","56750400000","309768000000","12254000000","11.817089062234913","3.9558637431884507"
"イーエムシステムズ（商号 株式会社EMシステムズ）","4820","56184159200","20355000000","2330000000","20.308528872864827","11.446818963399656"
"ゼビオホールディングス","8281","56103807933","242433000000","4204000000","1.312198852452866","1.7340873560942611"
"リケンテクノス","4220","55719331893","125739000000","8775000000","1.8146117048980983","6.978741679192613"
"エムアップホールディングス","3661","55656991700","18574000000","2825000000","16.553714859437747","15.20943254010983"
"ピーエス・コンストラクション","1871","55511167901","129294000000","7827000000","18.263557950003204","6.053645180750847"
"オリエンタル白石","1786","55384950600","67382000000","6533000000","9.59986987638257","9.695467632305363"
"I‐PEX","6640","55007586400","59014000000","-759000000","-1.0546082524353153","-1.2861354932727826"
"世紀東急工業","1898","54939176276","88037000000","4091000000","-4.736295366502901","4.6469098220066565"
"アイダエンジニアリング","6118","54933701011","72742000000","3615000000","5.737335562177478","4.969618652222925"
"岩井コスモホールディングス","8707","54828057600","24040000000","7600000000","22.08623228886293","31.61397670549085"
"クオールホールディングス","3034","54697315710","180052000000","8324000000","5.890517302218342","4.623108879656988"
"アネスト岩田","6381","54561375035","53425000000","6176000000","10.120229441707451","11.560131024801123"
"スターゼン","8043","54370307320","410534000000","8978000000","-3.443069056595789","2.1869077835209754"
"松屋","8237","54302143160","41251000000","2974000000","19.92","7.209522193401371"
"フクシマガリレイ","6420","54282753600","115835000000","15303000000","10.323250409539412","13.211032934777917"
"BEENOS","3328","54027710150","25428000000","2401000000","-21.779254337393866","9.442347019034134"
"関東電化工業","4047","53978194900","64768000000","-1968000000","-17.676517318080712","-3.0385375494071147"
"宮崎銀行","8393","53870037000","68889000000","","0.5855040299030492",""
"RYODEN","8084","53844120743","259008000000","8326000000","-0.49749714755495233","3.214572522856437"
"オイシックス・ラ・大地","3182","53733693996","148408000000","5144000000","28.85323331249566","3.4661204247749446"
"ユーグレナ","2931","53570400243","46482000000","-1464000000","4.708055505496489","-3.149606299212598"
"フルキャストホールディングス","4848","53493092800","68974000000","8658000000","6.696573594245493","12.552556035607621"
"栗本鐵工所","5602","53433695750","125925000000","7460000000","0.8796173904683968","5.924161207067699"
"西華産業","8061","53410017750","86785000000","5580000000","-6.993816377490319","6.429682548827563"
"イオンファンタジー","4343","53359222850","81758939000","3585535000","12.48","4.385496000626916"
"フォーラムエンジニアリング","7088","53205523200","31279000000","3029000000","","9.683813421145178"
"サーラコーポレーション","2734","52832917600","240498000000","6308000000","-0.64","2.6228908348510176"
"安田倉庫","9324","52796040000","67384000000","2642000000","12.765245331012778","3.9208120622106137"
"アニコム ホールディングス","8715","52769644840","60437000000","","6.91515709029153",""
"神鋼商事","8075","52720343900","591431000000","13296000000","1.1242083521413804","2.248106710672927"
"ロードスターキャピタル","3482","52623576000","28726000000","8249000000","21.529804966789357","28.716145652022558"
"大日精化工業","4116","52488970200","119824000000","4550000000","-1.7876316544403892","3.797235946054213"
"岩手銀行","8345","52459721096","43886000000","","-7.785085415309624",""
"プロトコーポレーション","4298","52322774400","115548000000","7704000000","9.424599416644568","6.667359019628207"
"コタ","4923","52300244844","9136983000","1921912000","3.776166987146354","21.034426790550008"
"ベース","4481","52288932000","18708000000","4702000000","9.75104733697367","25.133632670515286"
"A&Dホロンホールディングス","7745","52181919792","61955000000","7955000000","4.958663685030842","12.839964490355904"
"宮越ホールディングス","6620","52059440843","1137000000","421000000","-13.798332069749804","37.02726473175022"
"アルプス技研","4641","52039793275","46216000000","4982000000","5.88416369633056","10.77981651376147"
"サガミホールディングス","9900","52028163128","31006000000","1656000000","17.34432008605806","5.340901760949493"
"ヤマエグループホールディングス","7130","51995720256","712717000000","13919000000","21.21408478490838","1.9529490667403753"
"宮地エンジニアリンググループ","3431","51951260632","69365000000","7904000000","15.073242754524799","11.394795646219274"
"イワキ","6237","51841547550","44539000000","5465000000","18.045373854567742","12.270145265946699"
"ブロンコビリー","3091","51645575000","23377000000","1644000000","19.832680217801553","7.032553364418018"
"山一電機","6941","51605588100","36423000000","2933000000","-22.48023738759231","8.05260412376795"
"ユニプレス","5949","51591263475","335079000000","10927000000","10.063328975634107","3.261022027641243"
"日東工器","6151","51324956430","27072000000","2958000000","-3.627496351144501","10.926418439716311"
"沖縄電力","9511","51121312570","236394000000","3481000000","5.761083049611443","1.472541604270836"
"三重交通グループホールディングス","3232","50860950342","98218000000","7368000000","5.469344381173229","7.501679936467857"
"リソー教育","4714","50854623064","32215052000","2586929000","2.31","8.030187255324002"
"淺沼組","1852","50733790120","152676000000","4057000000","5.704948904705191","2.6572611281406378"
"じげん","3679","50711800000","23249000000","5394000000","24.266395852263628","23.200997892382468"
"マクロミル","3978","50519664000","43861000000","4470000000","7.989462280874534","10.191286108387862"
"東京計器","7721","50409647928","47166000000","2768000000","6.479140328697852","5.8686341856421995"
"大分銀行","8392","49786738210","73240000000","","0.4595020917632695",""
"四国銀行","8387","49764000000","52486000000","","-13.525002059477714",""
"理想科学工業","6413","49752000000","74602000000","5256000000","-0.07099323555020476","7.045387523122705"
"日本カーボン","5302","49104891600","37867000000","6573000000","5.776697673119372","17.358121847518948"
