7535,6525,5990,5724,5121,4375,3856,3410,3078
7553,6485,5828,5352,4714,4104,3417,2951,2590
7682,6883,6028,5520,5110,4398,3536,3239,3037
5073,4565,4253,3850,3327,3095,2835,2784,2677
25916,25853,26534,26686,25680,24716,23905,22819,21575
13016,10890,9685,8972,8061,7380,6789,6222,5646
16674,15996,15795,15955,15182,14634,14066,13431,13045
8646,7332,6774,6355,6204,5705,5437,5025,4551
9173,8266,7836,7347,6758,6422,6126,5753,5358
8517,7733,7773,7654,7196,6736,6317,5981,5435
8881,7481,6430,5601,4901,4451,4110,3699,3428
10311,9307,8666,8389,7801,7252,6666,6393,5892
33330,30785,30428,29444,26735,25769,24844,23648,22265
16919,15017,14326,13702,12692,12042,11423,10758,10041
8514,6711,5673,5026,4499,4084,3799,3366,3028
7302,6763,6628,6320,5695,5277,4965,4589,4301
2714,1977,1609,1446,1310,1253,1314,1224,1135
8679,7407,7041,6567,6357,5976,5778,5507,4939
11007,9603,9565,9429,9238,8992,8946,8392,7933
7519,6769,6424,6112,5790,6121,5286,4771,4528
5364,4447,4292,4343,4123,3866,3748,3473,3232
20094,22585,24168,24353,23229,22414,21662,20748,19376
7916,6976,6817,6603,6183,5734,5438,5240,4890
16187,15496,14401,13749,13113,12805,10622,11343,10132
12242,11633,11258,10526,9519,9484,9438,9131,8726
15554,14851,14591,14068,12871,11967,11197,10602,9746
21228,19052,18875,18267,16976,16556,15783,14730,13615
10770,9331,8494,7767,7352,6883,6503,6173,5596
9455,8214,7634,7277,6947,6478,6204,6034,5775
20922,20213,19408,18808,17862,17186,16634,15698,14389
8834,8293,7986,7745,7159,6686,6210,5711,5114
7725,7777,7520,7456,7034,6811,6248,5796,5413
33241,32257,33190,32610,30262,29337,28438,27265,25419
24118,26933,31134,33970,33977,37528,39201,42452,45085
7567,7028,6979,7044,7149,7010,6839,6755,6416
9135,8143,7571,7042,6380,5936,5634,5229,5080
7883,6929,6744,6480,6307,6089,5910,5876,5702
11089,11537,9502,9008,8412,7822,7657,7243,6653
16162,14026,13352,13281,12033,11325,10988,10464,9961
15571,15845,16580,16731,16577,16604,17586,18300,18905
4231,3804,3785,4101,4277,4319,4116,3983,4006
4324,3787,3624,3571,3433,3350,3291,3326,3391
8814,8434,8356,8118,7483,7075,6711,6407,5977
13436,11399,11512,11285,10346,9593,8975,8325,7881
20994,20859,22390,23497,23408,24240,26080,26868,26547
13627,12306,11902,11255,9809,9093,8710,8193,7527
7386,6280,5779,5541,5050,4519,4164,3732,3394
14804,13769,13253,12534,11484,10336,10021,9072,8275
15172,13525,12667,11586,10289,9522,8871,8317,7630
6839,5474,5002,4466,3902,3429,3228,2956,2650
11726,10354,9693,9258,8395,7621,6846,6068,5460
7492,9818,13123,15942,19008,21986,22478,21855,20526
18114,16778,15940,15417,14093,13076,12307,11525,10630
10192,9668,9243,8921,8395,7866,7335,7005,6511
13832,12737,12297,11633,10701,10015,9388,8936,8285
12237,11974,12206,11796,10630,9954,9493,9023,8278
3015,2651,2638,2856,2829,2759,2728,2672,2627
15482,14897,14514,14105,13301,12307,11359,10397,9294
18296,18078,19035,18533,18297,17549,16910,16460,15855
17090,18929,21187,21675,21900,22326,23179,23792,23982
8001,7781,7730,7577,7310,7087,6298,6063,5646
8745,8249,8299,8065,7805,7471,6956,6540,5885
261743,285923,309768,316047,308782,314917,318732,311508,299520
174644,181565,192291,192989,191217,194197,193217,189043,183473
216955,231945,245617,248691,247983,249358,248608,244700,237615
37690,38796,40755,40501,39213,39004,39059,38455,36132
67047,67430,68738,67033,63843,63383,63208,62181,58421
59719,63066,67050,69106,68097,69146,69630,68359,66110
35343,37437,39962,41425,41342,41605,42495,42425,41258
66447,69119,71567,71857,68637,67969,67022,64052,61066
50785,49096,46869,46070,43699,42384,41320,40091,37243
39360,38846,38979,38932,37948,36876,36454,35336,33764
17551,17175,17501,17246,16103,15441,14528,13483,12361
7358,7208,7113,6099,4978,4737,4124,3816,3217
4771,4371,4360,4275,4052,3786,3480,3405,3271
16258,15999,14955,12855,10663,9813,9170,8215,7089
