0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
0,56
"18,212",56
"36,423",56
"41,177",66
"58,148",69
"64,908",75
64908,74.5
"71,668",80
"53,905",81
"54,703",76
"43,352",79
"62,625",87
"53,383",97
"44,141",106
"44,473",125
"50,371",116
"56,269",107
"43,027",83
"74,073",82
"70,367",80
"66,660",78
"87,373",78
"80,171",84
"72,968",89
"122,437",77
"107,616",81
107616,81
"92,795",85
"104,689",81
"89,326",81
"73,963",81
"85,317",74
"109,030",72
"97,390",70
"85,749",67
"93,950",69
"82,788",66
"71,625",63
"105,452",62
"130,109",61
"116,735",62
"103,361",63
"193,262",69
"182,804",70
"172,345",71
"59,726",68
"126,173",68
"97,762",66
"69,350",64
"118,158",69
"141,261",71
"164,364",73
"80,993",74
"119,650",71
"116,774",71
"113,898",70
"172,128",68
"230,167",67
"288,205",65
"119,166",69
"95,340",72
"67,026",72
"124,038",75
124038,74.5
124038,74.5
124038,74.5
124038,74.5
124038,74.5
"181,050",77
"157,670",72
"103,652",68
"157,057",70
157057,70
"210,462",72
"178,577",66
"164,392",64
164392,63.5
"150,207",61
"114,445",58
"145,394",48
"157,452",53
"160,426",51
"148,789",54
"137,151",56
"182,620",53
"223,500",58
"264,380",62
"147,256",58
"115,698",53
"107,708",54
"99,717",54
"177,704",60
"150,594",58
"123,484",56
"115,159",52
"157,389",50
"155,544",51
"153,698",52
"164,518",51
"147,444",49
"130,369",46
"133,823",51
"257,396",55
"215,123",55
"172,850",55
"134,392",56
"95,934",57
"102,163",62
"151,206",68
"129,932",61
"147,760",64
"165,587",67
"127,272",65
"134,528",64
"141,783",62
"151,810",61
"181,492",57
"182,302",59
182302,59
"183,112",61
"104,185",61
"228,075",57
"177,154",63
"144,699",58
"125,182",64
"105,665",70
"167,636",78
"123,609",77
"79,582",76
"188,369",78
"153,742",74
"130,039",76
"106,335",77
"186,427",78
"148,496",76
"110,565",73
"90,658",71
"189,134",63
"156,570",64
"124,005",64
"161,561",61
"97,705",67
"170,459",75
"171,030",82
"171,600",88
"155,437",87
"139,274",86
"153,307",83
"153,256",83
"153,205",82
"128,097",105
"330,296",102
"346,777",98
"363,258",94
"225,310",111
"168,891",107
"112,471",103
"103,524",93
"221,952",79
"185,006",90
"148,060",101
"188,419",121
"158,491",141
"128,563",161
"122,486",108
"206,618",109
"186,220",145
"165,822",181
"94,639",190
"131,142",157
"167,644",124
"149,183",125
"167,224",163
"139,635",165
"112,045",167
"121,563",167
"217,473",128
"313,383",88
"245,941",92
"168,297",150
"147,944",190
"127,590",229
"116,759",311
"111,185",307
"105,611",303
"137,653",197
"191,204",200
120817,187
"50,430",174
67370.5,165
"84,311",156
"182,862",110
"132,251",90
"150,245",94
128640,102.5
"107,035",111
"108,075",131
120785,125.5
"133,495",120
"118,524",110
"105,250",147
96165,143.5
"87,080",140
"122,344",147
106454.5,139.5
"90,565",132
"88,001",121
"108,813",116
100113.5,106
"91,414",96
"168,174",93
125431.5,109.5
"82,689",126
"103,183",95
"132,751",102
87710.5,132
"42,670",162
"73,302",138
100512.5,115.5
"127,723",93
"82,097",101
"83,119",98
72862.5,95.5
"62,606",93
"81,876",95
75998,110
"70,120",125
"55,134",109
"76,209",122
63170.5,113
"50,132",104
"59,253",111
59577.5,98.5
"59,902",86
"53,193",84
"49,740",77
37961,80.5
"26,182",84
"135,587",76
84245,75
"32,903",74
0,73.5
"34,545",73
"43,654",73
"52,762",73
0,71
0,71
0,71
0,71
0,71
"13,570",71
"27,139",69
0,69
0,96
0,96
0,96
0,96
0,96
0,96
0,96
0,96
0,96
0,96
0,96
0,96
0,96
0,96
0,96
0,96
0,96
0,96
0,96
"29,715",96
"14,858",85
0,84.5
0,84.5
0,84.5
0,84.5
0,84.5
"54,913",73
"47,922",72
"40,930",71
"39,540",70
"64,298",73
"60,609",80
"56,920",87
"50,262",90
"43,603",93
"49,911",78
"49,025",76
"75,359",74
"63,910",77
"52,460",80
"92,694",73
"92,662",72
"92,630",70
"57,795",67
"108,502",66
"99,821",68
"91,140",69
"89,060",66
"88,421",69
"87,781",71
"68,470",68
"110,516",68
"130,450",64
130450,64
"150,384",60
"70,742",49
"95,417",51
"179,954",56
"198,404",46
"166,869",48
"135,334",50
"148,255",47
"124,626",48
"100,996",49
"109,972",52
"143,624",48
"121,891",46
"100,157",43
"156,603",52
"153,283",52
"149,962",52
"103,451",47
"135,375",54
"138,669",58
"141,963",61
"111,678",63
"112,311",67
"112,943",70
"115,876",73
"117,276",70
"104,081",70
"90,885",69
"177,087",75
"171,737",78
"166,387",81
"132,484",88
"151,530",95
"53,954",76
"160,388",90
"133,920",85
"153,977",90
153977,89.5
153977,89.5
153977,89.5
153977,89.5
153977,89.5
"174,034",94
"120,470",84
"89,641",8
"105,173",93
"150,465",95
"149,788",97
149788,97
"149,111",99
"17,820",105
"150,030",94
"72,601",97
"133,270",95
"116,267",94
"99,263",92
"186,464",85
"247,558",81
"308,652",77
"130,443",95
"91,310",115
"91,147",111
"90,983",107
"159,497",103
"192,021",92
"224,544",81
"175,311",81
"210,038",81
"174,062",78
