jp,usd,us,capitalization_JP,capitalization_US,USD
2.86134E+12,1.23686E+11,1.9295E+13,2861340000000 ,19295016000000 ,123686000000 
2.82338E+12,1.21824E+11,1.90046E+13,2823382668392 ,19004557384176 ,121824085796 
2.78269E+12,1.18665E+11,1.85117E+13,2782685943000 ,18511740000000 ,118665000000 
2.73456E+12,1.1725E+11,1.8291E+13,2734555501326 ,18291000000000 ,117250000000 
2.72412E+12,1.16223E+11,1.81308E+13,2724117300000 ,18130788000000 ,116223000000 
2.70364E+12,1.14457E+11,1.78553E+13,2703636634050 ,17855292000000 ,114457000000 
2.69161E+12,1.14166E+11,1.78099E+13,2691607060960 ,17809906136724 ,114166064979 
2.64843E+12,1.12944E+11,1.76193E+13,2648433914160 ,17619264000000 ,112944000000 
2.62409E+12,1.08768E+11,1.69678E+13,2624085026480 ,16967808000000 ,108768000000 
2.61946E+12,1.08677E+11,1.69536E+13,2619462334788 ,16953612000000 ,108677000000 
2.51389E+12,1.08627E+11,1.69458E+13,2513886201160 ,16945788324192 ,108626848232 
2.50847E+12,1.07955E+11,1.6841E+13,2508470771788 ,16840980000000 ,107955000000 
2.48176E+12,1.07858E+11,1.68258E+13,2481757188057 ,16825848000000 ,107858000000 
2.42686E+12,1.05768E+11,1.64998E+13,2426856303558 ,16499808000000 ,105768000000 
2.40719E+12,1.05704E+11,1.64898E+13,2407188347564 ,16489837590252 ,105704087117 
2.40396E+12,1.03371E+11,1.61258E+13,2403956440923 ,16125803794464 ,103370537144 
2.39486E+12,1.03321E+11,1.61181E+13,2394857034360 ,16118076000000 ,103321000000 
2.36358E+12,1.01398E+11,1.58181E+13,2363583827290 ,15818088000000 ,101398000000 
2.32434E+12,1.01319E+11,1.58058E+13,2324340000000 ,15805764000000 ,101319000000 
2.30935E+12,1.00658E+11,1.57026E+13,2309352999853 ,15702648000000 ,100658000000 
2.30854E+12,98946841260 ,1.54357E+13,2308540907322 ,15435707236560 ,98946841260 
2.23851E+12,96940830239 ,1.51228E+13,2238510000000 ,15122769517284 ,96940830239 
2.15955E+12,94485689987 ,1.47398E+13,2159548769520 ,14739767637972 ,94485689987 
2.13918E+12,93080380500 ,1.45205E+13,2139180326028 ,14520539358000 ,93080380500 
2.13649E+12,92686370000 ,1.44591E+13,2136494076561 ,14459073720000 ,92686370000 
1.98676E+12,92043089799 ,1.43587E+13,1986757500000 ,14358722008644 ,92043089799 
1.98077E+12,91538775280 ,1.428E+13,1980766082168 ,14280048943680 ,91538775280 
1.9379E+12,89357541391 ,1.39398E+13,1937903993397 ,13939776456996 ,89357541391 
1.91603E+12,89151027948 ,1.39076E+13,1916027825090 ,13907560359888 ,89151027948 
1.88555E+12,88967228676 ,1.38789E+13,1885552039225 ,13878887673456 ,88967228676 
1.88491E+12,88343619135 ,1.37816E+13,1884914670000 ,13781604585060 ,88343619135 
1.83198E+12,87577037241 ,1.3662E+13,1831982700510 ,13662017809596 ,87577037241 
1.83124E+12,86224020000 ,1.34509E+13,1831239832274 ,13450947120000 ,86224020000 
1.82891E+12,86173181076 ,1.3443E+13,1828906108105 ,13443016247856 ,86173181076 
1.82741E+12,85615457468 ,1.3356E+13,1827408128376 ,13356011365008 ,85615457468 
1.80798E+12,84973098685 ,1.32558E+13,1807980279516 ,13255803394860 ,84973098685 
1.76394E+12,84581677680 ,1.31947E+13,1763937716002 ,13194741718080 ,84581677680 
1.75031E+12,84401427570 ,1.31666E+13,1750310000000 ,13166622700920 ,84401427570 
1.74828E+12,83859157551 ,1.3082E+13,1748276886880 ,13082028577956 ,83859157551 
1.74131E+12,83693648143 ,1.30562E+13,1741312136122 ,13056209110308 ,83693648143 
1.70333E+12,79978151910 ,1.24766E+13,1703326979578 ,12476591697960 ,79978151910 
1.66588E+12,79190223015 ,1.23537E+13,1665880981440 ,12353674790340 ,79190223015 
1.64616E+12,78992558578 ,1.23228E+13,1646164735627 ,12322839138168 ,78992558578 
1.59764E+12,78777381795 ,1.22893E+13,1597643451795 ,12289271560020 ,78777381795 
1.59538E+12,78636084695 ,1.22672E+13,1595376781086 ,12267229212420 ,78636084695 
1.59292E+12,78376349360 ,1.22267E+13,1592919453580 ,12226710500160 ,78376349360 
1.54115E+12,77687681186 ,1.21193E+13,1541152000000 ,12119278265016 ,77687681186 
1.53749E+12,77370059536 ,1.20697E+13,1537493791860 ,12069729287616 ,77370059536 
1.53169E+12,77077202363 ,1.2024E+13,1531687828000 ,12024043568628 ,77077202363 
1.48011E+12,77026501482 ,1.20161E+13,1480114454196 ,12016134231192 ,77026501482 
1.47544E+12,76819477134 ,1.19838E+13,1475435892438 ,11983838432904 ,76819477134 
1.46651E+12,76799100345 ,1.19807E+13,1466514000000 ,11980659653820 ,76799100345 
1.44487E+12,76176912000 ,1.18836E+13,1444866375875 ,11883598272000 ,76176912000 
1.43957E+12,75443133737 ,1.17691E+13,1439571801171 ,11769128862972 ,75443133737 
1.43854E+12,75349924929 ,1.17546E+13,1438537857024 ,11754588288924 ,75349924929 
1.43544E+12,75220893279 ,1.17345E+13,1435443440717 ,11734459351524 ,75220893279 
1.43415E+12,74843763675 ,1.16756E+13,1434145325120 ,11675627133300 ,74843763675 
1.40587E+12,73325881629 ,1.14388E+13,1405870107789 ,11438837534124 ,73325881629 
